"","Data.Source","Region","Basin","Catchment","Site.Code","Site.Name","Latitude","Longitude"
"1","Third Party","Burdekin","Burdekin","Lower Burdekin River","120001A","Burdekin River at Home Hill Inkerman Bridge",-19.642047,147.396947
"2657","WQI","Burdekin","Burdekin","Lower Burdekin River","120001A","Burdekin River at Home Hill Inkerman Bridge",-19.642047,147.396947
"9456","WQI","Burdekin","Burdekin","Lower Burdekin River","1200020","Burdekin River at Down River Pump Station",-19.65157,147.48417
"9845","WQI","Burdekin","Burdekin","Lower Burdekin River","120002C","Burdekin River at Sellheim",-20.006256,146.439055
"13924","Third Party","Burdekin","Burdekin","Lower Burdekin River","120006B","Burdekin River at Clare",-19.758547,147.243627
"14504","WQI","Burdekin","Burdekin","Lower Burdekin River","120006B","Burdekin River at Clare",-19.758547,147.243627
"14518","WQI","Burdekin","Burdekin","Lower Burdekin River","120008C","Burdekin River at Dalbeg",-20.297382,147.301856
"14700","WQI","Burdekin","Burdekin","Lower Burdekin River","1200125","Bonnie Doon Creek at Strathalbyn",-20.174431,147.309535
"15164","WQI","Burdekin","Burdekin","Lower Burdekin River","1200126","Cassidy Creek at Kirknie Access Road",-19.78587,147.25892
"15640","WQI","Burdekin","Burdekin","Lower Burdekin River","1200127","Burdekin River at Tom Fenwick Pump Station",-19.92916,147.22003
"15935","WQI","Burdekin","Burdekin","Lower Burdekin River","120013A","Cassidy Creek at Leichardt Downs",-19.78813,147.24952
"16439","WQI","Burdekin","Burdekin","Lower Burdekin River","120015A","Burdekin River at Hydro Site",-20.626983,147.165287
"17167","WQI","Burdekin","Burdekin","Bowen River","120205A","Bowen River at Myuna",-20.582076,147.59811
"23525","WQI","Burdekin","Burdekin","Suttor River","120301B","Belyando River at Gregory Development Road",-21.533098,146.859652
"24993","WQI","Burdekin","Burdekin","Suttor River","120302B","Cape River at Taemas",-20.99955,146.427126
"26352","WQI","Burdekin","Burdekin","Suttor River","120310A","Suttor River at Bowen Developmental Road",-21.537439,147.042369
