Basin,Site,SiteNumber
Ross,"Alligator Creek Road, Alligator Creek",1
Ross,"Alligator Creek Road, Bowling Green Bay National Park, Mount Elliot",2
Ross,"Bougainville Street, Roseneath",3
Ross,"Dalrymple Road, Mount Louisa",4
Ross,"Flinders Highway, Ross River",5
Ross,"Geaney Lane, Deeragun",6
Ross,"Gollogly Drive, Rasmussen",7
Ross,"Granitevale Road, Alice River",8
Ross,"Kavenagh Court, Oak Valley",9
Ross,"Off Laudberg Road, Kelso",10
Ross,"Off S Beck Drive, Rasmussen",11
Ross,"Riverview Park, Annandale",12
Ross,"Riverway Drive, Kelso",13
Ross,"Strachan Road, Alligator Creek",14
Black,"Adenaline Paintball, Black River",1
Black,"Black River Road, Black River",2
Black,"Bruce Highway, Black River",3
Black,"Bruce Highway, Bluewater",4
Black,"Bruce Highway, Mutarnee",5
Black,"Bruce Highway, Rollingstone",6
Black,"Daly Road, Mutarnee",7
Black,"Forestry Road, Paluma Range National Park, Lynam",8
Black,"Intake Road, Paluma Range National Park, Crystal Creek",9
Black,"Page Road, Hervey Range",10
Black,"Setter Road, Bluewater",11
Black,"Spiegelhauer Road, Mutarnee",12
Black,"Volk Road, Mutarnee",13
