Postcode_Within_Burdekin,Suburb
4472,Alpha
4472,Blackall
4472,Jericho
4472,Windeyer
4478,Alpha
4478,Blackall
4478,Mantuan Downs
4478,Windeyer
4702,Alpha
4702,Lochington
4702,Mantuan Downs
4702,Willows
4702,Peak Vale
4720,Alpha
4720,Lochington
4720,Mantuan Downs
4720,Willows
4721,Alpha
4721,Aramac
4721,Belyando
4721,Clermont
4721,Gemini Mountains
4721,Elgin
4721,Mount Coolon
4721,Frankfield
4721,Jericho
4721,Dysart
4721,Eaglefield
4721,Kilcummin
4721,Llanarth
4721,Laglan
4721,Moranbah
4721,Pentland
4721,Quetta
4721,Wolfang
4721,Willows
4721,Winchester
4721,Peak Vale
4721,Peak Vale
4721,Pasha
4722,Alpha
4722,Lochington
4722,Mantuan Downs
4722,Windeyer
4724,Alpha
4724,Clermont
4724,Jericho
4724,Lochington
4724,Mantuan Downs
4724,Quetta
4724,Willows
4724,Peak Vale
4724,Windeyer
4726,Aramac
4726,Jericho
4726,Laglan
4726,Pentland
4726,Torrens Creek
4728,Alpha
4728,Aramac
4728,Blackall
4728,Jericho
4728,Laglan
4741,Bloomsbury
4741,Bogie
4741,Burton
4741,Coral Sea
4741,Newlands
4741,Mount Britton
4741,Finch Hatton
4741,Eungella Dam
4741,Eungella Hinterland
4741,Dalrymple Heights
4741,Dysart
4741,Crediton
4741,Turrawulla
4741,Kemmis
4741,Moranbah
4741,Yalboroo
4741,Winchester
4742,Burton
4742,Elphinstone
4742,Mount Britton
4742,Mount Coolon
4742,Eungella Dam
4742,Glenden
4742,Dysart
4742,Eaglefield
4742,Crediton
4742,Hail Creek
4742,Turrawulla
4742,Suttor
4742,Kemmis
4742,Moranbah
4742,Pasha
4743,Burton
4743,Elphinstone
4743,Newlands
4743,Mount Coolon
4743,Eungella Dam
4743,Eungella Hinterland
4743,Glenden
4743,Eaglefield
4743,Hail Creek
4743,Turrawulla
4743,Suttor
4744,Burton
4744,Eaglefield
4744,Kilcummin
4744,Moranbah
4744,Winchester
4744,Pasha
4745,Gemini Mountains
4745,Dysart
4745,Wolfang
4745,Winchester
4756,Broken River
4756,Eungella
4756,Finch Hatton
4756,Eungella Hinterland
4756,Dalrymple Heights
4756,Netherdale
4756,Crediton
4757,Broken River
4757,Eungella
4757,Mount Britton
4757,Finch Hatton
4757,Eungella Dam
4757,Eungella Hinterland
4757,Dalrymple Heights
4757,Netherdale
4757,Crediton
4757,Hail Creek
4757,Turrawulla
4799,Andromache
4799,Bloomsbury
4799,Bogie
4799,Eungella Hinterland
4799,Yalboroo
4800,Andromache
4800,Bloomsbury
4800,Bogie
4800,Bowen
4804,Belyando
4804,Bogie
4804,Collinsville
4804,Eight Mile Creek
4804,Newlands
4804,Mount Coolon
4804,Eungella Hinterland
4804,Mount Wyatt
4804,Glenden
4804,Eaglefield
4804,Turrawulla
4804,Suttor
4804,Llanarth
4804,Ravenswood
4804,Scottville
4804,Pasha
4804,Seventy Mile
4804,Springlands
4805,Andromache
4805,Bloomsbury
4805,Bogie
4805,Bowen
4805,Eight Mile Creek
4805,Newlands
4805,Eungella Hinterland
4805,Mount Wyatt
4805,Dalbeg
4805,Gumlu
4805,Guthalungra
4805,Kirknie
4805,Millaroo
4805,Wangaratta
4805,Rangemore
4805,Springlands
4806,Airville
4806,Bogie
4806,Clare
4806,Carstairs
4806,Mount Kelly
4806,Mulgrave
4806,Mona Park
4806,Gumlu
4806,Fredericksfield
4806,Jarvisfield
4806,Home Hill
4806,Inkerman
4806,Groper Creek
4806,Kirknie
4806,McDesme
4806,Millaroo
4806,Wangaratta
4806,Rangemore
4806,Rita Island
4806,Osborne
4807,Airdmillan
4807,Airville
4807,Ayr
4807,Alva
4807,Barratta
4807,Bogie
4807,Brandon
4807,Clare
4807,Carstairs
4807,Colevale
4807,Coral Sea
4807,Mount Kelly
4807,Mulgrave
4807,Eight Mile Creek
4807,Mona Park
4807,Mount Wyatt
4807,Dalbeg
4807,Jarvisfield
4807,Home Hill
4807,Inkerman
4807,Groper Creek
4807,Swans Lagoon
4807,Kirknie
4807,McDesme
4807,Millaroo
4807,Ravenswood
4807,Upper Haughton
4807,Rita Island
4807,Osborne
4808,Airville
4808,Ayr
4808,Alva
4808,Barratta
4808,Brandon
4808,Colevale
4808,Jerona
4808,McDesme
4809,Airville
4809,Barratta
4809,Brandon
4809,Cape Cleveland
4809,Clare
4809,Colevale
4809,Coral Sea
4809,Coral Sea
4809,Mount Kelly
4809,Mulgrave
4809,Mona Park
4809,Mount Elliot
4809,Cromarty
4809,Giru
4809,Jerona
4809,Horseshoe Lagoon
4809,Majors Creek
4809,Mount Surround
4809,Ravenswood
4809,Woodstock
4809,Upper Haughton
4809,Shirbourne
4809,Reid River
4810,Cape Cleveland
4810,Coral Sea
4810,Mount Elliot
4810,Cungulla
4810,Cromarty
4810,Giru
4815,Barringha
4815,Calcium
4815,Dotswood
4815,Hervey Range
4815,Hervey Range
4815,Granite Vale
4815,Woodstock
4815,Reid River
4816,Aramac
4816,Bambaroo
4816,Barringha
4816,Basalt
4816,Belyando
4816,Broughton
4816,Cape Cleveland
4816,Campaspe
4816,Calcium
4816,Clemant
4816,Coral Sea
4816,Conjuboy
4816,Dotswood
4816,Mulgrave
4816,Eight Mile Creek
4816,Mount Fox
4816,Mingela
4816,Minnamoolka
4816,Mount Elliot
4816,Cungulla
4816,Mount Wyatt
4816,Cromarty
4816,Crystal Creek
4816,Homestead
4816,Greenvale
4816,Hervey Range
4816,Granite Vale
4816,Horseshoe Lagoon
4816,Upper Stone
4816,Valley Of Lagoons
4816,Swans Lagoon
4816,Lynam
4816,Lyndhurst
4816,Majors Creek
4816,Majors Creek
4816,Llanarth
4816,Laglan
4816,Mount Surround
4816,Pentland
4816,Ravenswood
4816,Woodstock
4816,Yuruga
4816,Upper Haughton
4816,Shirbourne
4816,Paluma
4816,Seventy Mile
4816,Paluma
4816,Reid River
4816,Reid River
4816,Porcupine
4816,Torrens Creek
4817,Dotswood
4817,Hervey Range
4817,Hervey Range
4817,Granite Vale
4817,Lynam
4817,Paluma
4818,Clemant
4818,Coral Sea
4818,Hervey Range
4818,Hervey Range
4818,Lynam
4818,Paluma
4820,Alabama Hill
4820,Basalt
4820,Belyando
4820,Black Jack
4820,Breddan
4820,Broughton
4820,Campaspe
4820,Columbia
4820,Charters Towers City
4820,Dotswood
4820,Millchester
4820,Mount Coolon
4820,Mingela
4820,Mount Wyatt
4820,Homestead
4820,Greenvale
4820,Hervey Range
4820,Grand Secret
4820,Granite Vale
4820,Valley Of Lagoons
4820,Southern Cross
4820,Lyndhurst
4820,Llanarth
4820,Mosman Park
4820,Pentland
4820,Ravenswood
4820,Queenton
4820,Towers Hill
4820,Richmond Hill
4820,Paluma
4820,Seventy Mile
4820,Reid River
4820,Porcupine
4820,Toll
4821,Aramac
4821,Basalt
4821,Lyndhurst
4821,Pentland
4821,Porcupine
4821,Torrens Creek
4850,Bambaroo
4850,Basalt
4850,Mount Fox
4850,Minnamoolka
4850,Crystal Creek
4850,Greenvale
4850,Upper Stone
4850,Valley Of Lagoons
4850,Wairuna
4850,Wallaman
4850,Yuruga
4850,Paluma
4871,Basalt
4871,Conjuboy
4871,Minnamoolka
4871,Greenvale
4871,Lyndhurst
4871,Porcupine
4872,Minnamoolka
4872,Greenvale
4872,Valley Of Lagoons
4872,Wairuna
