Code,Indicator,Value_Unchanged,Value_Halved
BUR1,NOX,8,1
BUR2,Chla,8,1
BUR2,NOX,8,1
BUR4,Chla,8,1
CB1,NOX,8,1
CB15,FRP,NA,4
CB15,NOX,NA,4
CB15,TP,NA,4
CB15,TSS,3,1
CB16,FRP,NA,4
CB16,NOX,1,3
CB16,TP,NA,4
CB2,Chla,9,1
CB2,NOX,3,7
CB2,TN,8,2
CB2,TP,4,7
CB6,Chla,9,2
CB6,NOX,2,9
CB6,TN,3,8
CB6,TP,1,10
CB6,TSS,9,2
ORN1,FRP,NA,12
ORN1,NOX,3,9
ORN1,TP,1,11
ORN1,TSS,9,3
ORN2,Chla,11,1
ORN2,FRP,NA,12
ORN2,NOX,5,7
ORN2,TP,1,11
ORN2,TSS,7,5
P05,FRP,NA,4
P05,NOX,NA,4
P05,TP,NA,4
P05,TSS,3,1
Pelorus,Chla,304,1
RP1,Chla,9,1
RP1,TP,8,2
RR07,FRP,NA,4
RR07,NOX,1,3
RR07,TP,1,3
RR09,FRP,NA,4
RR09,NOX,1,3
RR09,TP,1,3
SB01,FRP,NA,4
SB01,NOX,1,3
SB01,TP,NA,4
SB01,TSS,2,2
SJ01,FRP,NA,4
SJ01,NOX,1,3
SJ01,TP,NA,4
SJ01,TSS,3,1
