Region,Year,Min,Per25,Mean,Per75,Max
Dry Tropics,2020,2,3,4,5,5
Mackay Whitsunday Isaac,2020,1,3,5,5,5
Wet Tropics,2020,1,3,4,5,5
Dry Tropics,2021,1,1,1,1,3
Mackay Whitsunday Isaac,2021,1,1,1,1,1
Wet Tropics,2021,1,1,1,1,4
Dry Tropics,2022,3,3,4,4,5
Mackay Whitsunday Isaac,2022,1,2,3,4,5
Wet Tropics,2022,2,3,3,3,5
Dry Tropics,2023,1,1,1,2,3
Mackay Whitsunday Isaac,2023,1,1,1,1,3
Wet Tropics,2023,1,1,1,1,2
Dry Tropics,2024,2,4,4,5,5
Mackay Whitsunday Isaac,2024,2,4,5,5,5
Wet Tropics,2024,2,3,4,5,5
